municipio,tipo_vivienda,habitaciones,metros_cuadrados,aseos,planta,garaje,zona_centro,ascensor,piscina,reformado,terraza,aire_acondicionado,precio
1,2,4.0,414.0,2.0,0.0,0,0,0,0,0,0,0,230000.0
1,5,2.0,53.0,1.0,3.0,0,0,0,0,0,0,0,60000.0
1,5,4.0,190.0,1.0,3.0,0,0,0,0,0,0,0,65000.0
1,0,4.0,73.0,2.0,4.0,0,1,0,0,0,0,0,125000.0
1,2,6.0,825.0,2.0,0.0,0,0,0,0,0,0,0,525000.0
1,5,3.0,85.0,1.0,3.0,0,0,0,0,0,0,0,105000.0
1,5,4.0,96.0,1.0,3.0,0,1,0,0,0,0,0,146000.0
1,2,4.0,218.0,1.0,0.0,0,0,0,0,0,0,0,179000.0
1,5,4.0,120.0,1.0,3.0,0,1,0,0,0,0,0,146000.0
1,5,3.0,115.0,2.0,3.0,0,0,0,0,0,0,0,336189.0
1,2,4.0,122.0,2.0,0.0,0,0,0,0,0,0,0,189000.0
1,5,3.0,104.0,2.0,3.0,1,0,0,0,0,0,0,260000.0
1,5,4.0,147.0,2.0,3.0,1,0,0,0,0,0,0,299000.0
1,5,3.0,85.0,2.0,3.0,0,0,0,0,0,0,0,167500.0
1,0,2.0,134.0,1.0,4.0,0,1,0,0,0,0,0,150000.0
1,2,4.0,550.0,2.0,0.0,0,0,0,0,0,0,0,265000.0
1,4,4.0,322.0,1.0,0.0,0,0,0,0,0,0,0,300000.0
1,1,3.0,201.0,1.0,0.0,0,0,0,0,0,0,0,360000.0
1,2,8.0,743.0,3.0,0.0,0,0,0,0,0,0,0,1100000.0
1,4,4.0,89.0,1.0,0.0,0,0,0,0,0,0,0,89990.0
1,5,4.0,93.0,2.0,3.0,0,1,0,0,0,0,0,193000.0
1,5,3.0,85.0,1.0,3.0,0,0,0,0,0,0,0,150000.0
1,5,3.0,60.0,1.0,3.0,0,0,0,0,0,0,0,130000.0
1,5,3.0,65.0,1.0,3.0,0,0,0,0,0,0,0,139000.0
1,5,2.0,92.0,1.0,3.0,0,0,0,0,0,0,0,198000.0
1,5,4.0,156.0,2.0,3.0,0,0,0,0,0,0,0,269000.0
1,5,3.0,104.0,2.0,3.0,0,0,0,0,0,0,0,179000.0
1,5,4.0,96.0,1.0,3.0,0,1,0,0,0,0,0,155000.0
1,1,5.0,352.0,3.0,0.0,1,0,0,0,0,0,0,360000.0
1,0,3.0,95.0,1.0,4.0,0,1,0,0,0,0,0,137000.0
1,2,4.0,105.0,1.0,0.0,0,0,0,0,0,0,0,285000.0
1,1,5.0,216.0,2.0,0.0,0,0,0,0,0,0,0,385000.0
1,5,2.0,105.0,2.0,3.0,0,0,0,0,0,0,0,140000.0
1,5,3.0,94.0,2.0,3.0,0,0,0,0,0,0,0,120000.0
1,2,3.0,85.0,1.0,0.0,0,0,0,0,0,0,0,295000.0
1,6,2.0,61.0,1.0,0.0,0,0,0,0,0,0,0,110000.0
1,5,3.0,72.0,1.0,5.0,0,0,1,0,0,0,1,160000.0
1,2,5.0,291.0,3.0,0.0,0,0,0,0,0,0,0,595000.0
1,5,4.0,132.0,1.0,1.0,0,1,1,0,0,0,0,195000.0
1,5,4.0,89.0,1.0,4.0,0,1,0,0,0,0,0,126000.0
1,1,3.0,130.0,3.0,0.0,0,0,0,0,0,1,0,380000.0
1,2,6.0,487.0,4.0,0.0,0,0,0,0,0,1,1,890000.0
1,5,4.0,93.0,1.0,3.0,0,0,1,0,0,0,0,142000.0
1,5,5.0,164.0,2.0,3.0,0,0,1,0,0,1,0,315000.0
1,5,4.0,73.0,1.0,5.0,0,0,0,0,0,0,0,109000.0
1,2,4.0,356.0,2.0,0.0,0,0,0,1,0,1,0,575000.0
1,2,3.0,133.0,2.0,0.0,0,0,0,0,0,1,0,360000.0
1,2,6.0,212.0,3.0,0.0,0,0,0,1,0,1,0,599000.0
1,2,10.0,800.0,11.0,0.0,0,0,0,1,0,1,0,2000000.0
1,2,5.0,261.0,4.0,0.0,0,0,0,1,0,1,0,725000.0
1,2,5.0,572.0,4.0,0.0,1,0,0,0,0,1,0,890000.0
1,6,5.0,145.0,2.0,0.0,0,0,0,0,0,1,1,165000.0
1,2,3.0,98.0,2.0,0.0,0,0,0,0,0,1,0,309000.0
1,2,4.0,144.0,2.0,0.0,0,0,0,1,0,1,0,544000.0
1,2,3.0,204.0,1.0,0.0,0,0,0,0,0,0,0,170000.0
1,5,3.0,85.0,1.0,3.0,0,0,0,0,0,0,0,210888.0
1,2,4.0,122.0,2.0,0.0,0,0,0,0,0,1,0,150000.0
1,2,3.0,311.0,3.0,0.0,0,0,0,0,0,0,0,564000.0
1,6,2.0,73.0,1.0,0.0,0,0,0,0,0,0,0,115000.0
1,2,6.0,521.0,4.0,0.0,0,0,0,0,0,0,0,475000.0
1,5,2.0,78.0,2.0,3.0,1,0,0,0,0,0,0,220000.0
1,5,3.0,116.0,2.0,3.0,1,0,0,0,0,0,0,293000.0
1,5,2.0,80.0,2.0,3.0,0,0,1,0,0,1,0,195000.0
1,5,3.0,150.0,2.0,3.0,0,0,1,0,0,0,0,190000.0
1,2,5.0,280.0,3.0,0.0,0,0,0,0,0,0,1,273000.0
1,5,4.0,96.0,1.0,1.0,0,1,0,0,0,1,0,146000.0
1,0,5.0,343.0,3.0,4.0,0,1,0,0,0,1,0,490000.0
1,1,4.0,175.0,3.0,0.0,0,0,0,0,0,1,0,280000.0
1,2,4.0,200.0,2.0,0.0,0,0,0,1,0,1,0,300000.0
1,2,3.0,213.0,2.0,0.0,1,0,0,1,0,1,0,300000.0
1,2,2.0,230.0,1.0,0.0,0,0,0,0,0,0,0,475000.0
1,1,4.0,126.0,1.0,0.0,0,0,0,0,0,0,0,85000.0
1,5,3.0,95.0,1.0,1.0,0,0,0,0,0,1,0,160000.0
1,2,5.0,527.0,3.0,0.0,0,0,0,0,0,1,0,700000.0
