,calle,barrio,municipio,tipo_vivienda,titulo,habitaciones,metros_cuadrados,aseos,planta,descripcion,etiquetas,garaje,precio
0,Casa o chalet en venta,en Aldaia,Manises,Chalet,Casa o chalet en venta en Aldaia,,414.0,,,Espectacular CASA de pueblo con una ubicada PRIVILEGIADA: en...Leer más,[],No,230000.0
1,Piso en venta en Santos Justo y Pastor,El Mercado,Manises,Piso,"Piso en venta en Santos Justo y Pastor, El Mercado",2.0,53.0,1.0,,Sin comisiones de agencia. Piso ubicado en la calle Sants Ju...Leer más,[],No,60000.0
2,Piso en venta en Calle Virgen de Loreto,Quart de Poblet,Manises,Piso,"Piso en venta en Calle Virgen de Loreto, 3, Quart de Poblet",4.0,190.0,1.0,,"VIVIENDA EN PLANTA BAJA JUNTO CON PRIMER PISO SIN ASCENSOR
S...Leer más",[],No,65000.0
3,Casa o chalet en venta en Calle de Santa Florentina,Centro Ciudad,Manises,Casa,"Casa o chalet en venta en Calle de Santa Florentina, 18, Centro Ciudad",,73.0,,,Casa unifamiliar para reformar. Cuerpo principal de la casa ...Leer más,[],No,125000.0
4,Casa o chalet en venta,en Aldaia,Manises,Chalet,Casa o chalet en venta en Aldaia,6.0,825.0,2.0,,"Exclusiva casa señorial ubicada en el centro de Aldaya, a ta...Leer más",[],No,525000.0
5,Piso en venta,en Aldaia,Manises,Piso,Piso en venta en Aldaia,3.0,85.0,1.0,,Piso en venta en Aldaia. Oportunidad. 85m2 distribuidos en v...Leer más,[],No,105000.0
6,Piso en venta en Carrer Major,Centro Ciudad,Manises,Piso,"Piso en venta en Carrer Major, Centro Ciudad",4.0,96.0,1.0,,"**¡Oportunidad única en el centro de Manises! **
Se vende amplia vivienda de 96m2, situada en la primera altura de un edificio SIN ASCENSOR. Con una distribució...Leer más",[],No,146000.0
7,Casa o chalet en venta,en Aldaia,Manises,Chalet,Casa o chalet en venta en Aldaia,4.0,218.0,1.0,,"Os presentamos esta oportunidad en ALDAIA, una casa de pueblo a pie de calle con mucho encanto. 
Techos altos, espacios al aire libre, terraza y mucho más. 
Est...Leer más",[],No,179000.0
8,Piso en venta en Carrer Major,Centro Ciudad,Manises,Piso,"Piso en venta en Carrer Major, 90, Centro Ciudad",4.0,120.0,1.0,,"REF 5910 piso en Manises en zona Centro, es un 1º sin ascensor de 96 metros, con 4 habitaciones y 1 baño, cocina independiente para terminar a cargo y gusto del...Leer más",[],No,146000.0
9,Ático en venta en Paterna - Calle mare de deu del pilar,El Alborgí,Manises,Piso,"Ático en venta en Paterna - Calle mare de deu del pilar, El Alborgí",3.0,115.0,2.0,,"Pisos de obra Nueva en Paterna a un precio inmejorable!.Esta obra que cuenta ya con la licencia de obras concedida se ubica en pleno centro de Paterna, en paral...Leer más",[],No,336189.0
