,calle,barrio,municipio,tipo_vivienda,titulo,habitaciones,metros_cuadrados,aseos,planta,descripcion,etiquetas,garaje,precio
0,Piso en calle Major,El Mercado,Manises,Piso,"Piso en calle Major, 183, El Mercado, Manises",3,95,,Planta 2ª exterior con ascensor,"NEGOCIABLES
Vendo piso en muy buena zona, 81m muy bien distribuidos, 3 habitaciones 2 de ellas de matrimonio y otra un poco más pequeña, baño con bañera y un aseo de cortesía, comedor, cocina, balcón y galeria. Es un 2 con ascensor, muy bien cuidado y en perfectas condiciones.",[],No,160000
1,Ático en calle Penyal d'Ifach,10,Aldaia,,"Ático en calle Penyal d'Ifach, 10, Aldaia",3,150,,Planta 3ª exterior con ascensor,,[],No,190000
2,Casa o chalet independiente,en Aldaia,Manises,Chalet,Casa o chalet independiente en Aldaia,1,550,,,"Situada en calle céntrica de Aldaia con una superficie de 385 m2 y 16 metros de fachada. Una casa para rehabilitar, con carácter que puedes modelar a tu gusto ¿por qué no comprar una casa de segunda mano e impregnarla con la esencia y el estilo que te gusta? . En un entorno excepcional con todos los servicios cerca.! V",[],No,265000
3,Piso en calle Joan XXIII,9,Aldaia,Piso,"Piso en calle Joan XXIII, 9, Aldaia",3,111,,Planta 1ª exterior sin ascensor,,[],No,95000
4,Casa o chalet independiente en valencia la Vella,46,Riba-Roja de Túria,Chalet,"Casa o chalet independiente en valencia la Vella, 46, Riba-Roja de Túria",3,110,,,,['Alquilada'],Sí,275000
5,Piso en calle Roger de Flor,Piso en calle Roger de Flor,Quart de Poblet,Piso,"Piso en calle Roger de Flor, Quart de Poblet",3,91,,,"OPORTUNIDAD INMUEBLE SIN POSESIÓN, NO SE PUEDE VISITAR. PROPIO PARA INVERSORES O VECINOS QUE CONOZCAN EL INMUEBLE.
DISPONEMOS DE UNA AMPLIA CARTERA DE INMUEBLES SIN POSESIÓN EN VALENCIA Y EN TODA ESPAÑA.
PROPIO, PEQUEÑO Y GRAN INVERSOR.
La Comunidad Valenciana (oficialmente en valenciano: Comunitat Valenciana) es una",[],No,93000
7,Ático en calle Penyal d'Ifach,s/n,Aldaia,,"Ático en calle Penyal d'Ifach, s/n, Aldaia",3,150,2.0,Planta 2ª exterior con ascensor,"¡Descubre el encanto de vivir en un exclusivo ático en Aldaia! Este magnífico espacio de 150 m², con 90 m² útiles, te ofrece la combinación perfecta de comodidad y estilo. Con 3 dormitorios, incluyendo una habitación doble y dos individuales, y 2 baños completos, es ideal para familias o aquellos que buscan un hogar es",[],No,190000
8,Casa o chalet independiente en calle 415,La Cañada,Paterna,Chalet,"Casa o chalet independiente en calle 415, 10, La Cañada, Paterna",3,255,,,"(La direccion es aproximada, no es la real) NO INMOBILIARIAS
Tiene 255 m2. Está repartida en tres plantas y tiene un semisótano. En la planta de abajo, hay un salón-comedor bastante grande y la cocina está integrada con una isla chula en medio. Además, hay salida directa al jardín, que son 168 metros cuadrados, ¡no e",[],No,400000
9,Piso en avenida Sant Onofre,48,Quart de Poblet,Piso,"Piso en avenida Sant Onofre, 48, Quart de Poblet",3,90,1.0,Planta 5ª exterior sin ascensor,"Ubicación:  Quart de Poblet, a sólo 13 minutos en metro del centro de Valencia.
Está en alquiler en este momento.
Características del piso:
- 3 habitaciones.
- 1 baño.
- 5º piso sin ascensor.
- Totalmente reformado.
Este apartamento es una excelente oportunidad para aquellos que buscan una vivienda en una zona t",[],No,83000
10,Chalet adosado en calle Santa Rita,1,Aldaia,Chalet,"Chalet adosado en calle Santa Rita, 1, Aldaia",4,175,,,"¡SIN COMISIONES! Particular vende este espectacular adosado con chimenea de tres plantas ubicadas en Aldaia. Con una distribución cuidadosamente planificada, este inmueble de 175m2 ofrece comodidad y estilo en cada rincón. Plaza de garaje para 2 coches, rejas en todas las ventanas, chimenea en el piso de abajo, aire ac",[],Sí,240000
